Sl_no,SRO,YEAR,LOCATION
94, Central -Asaf Ali (SR III),2021-2022, East of Kailash*
95, Central -Asaf Ali (SR III),2021-2022, East Patel Nagar*
96, Central -Asaf Ali (SR III),2021-2022, Faiz Bazar*
97, Central -Asaf Ali (SR III),2021-2022, Faiz Road*
98, Central -Asaf Ali (SR III),2021-2022, Farash Khana
99, Central -Asaf Ali (SR III),2021-2022, Fateh Nagar*
100, Central -Asaf Ali (SR III),2021-2022, Fatehpur Beri*
101, Central -Asaf Ali (SR III),2021-2022, Feroz Shah Kotla
102, Central -Asaf Ali (SR III),2021-2022, G.B. Road
103, Central -Asaf Ali (SR III),2021-2022, Gali Garhiya
104, Central -Asaf Ali (SR III),2021-2022, Gali Imam Wali
105, Central -Asaf Ali (SR III),2021-2022, Gali Madarsa Abdul Aziz
106, Central -Asaf Ali (SR III),2021-2022, Gali Madarsa Hussain Bux
107, Central -Asaf Ali (SR III),2021-2022, Gali Masjid Lal
108, Central -Asaf Ali (SR III),2021-2022, Gali Matia Mahal
109, Central -Asaf Ali (SR III),2021-2022, Gali Shahtara
110, Central -Asaf Ali (SR III),2021-2022, Gandhi Market Area Minto Road)
111, Central -Asaf Ali (SR III),2021-2022, Gandhi Nagar*
112, Central -Asaf Ali (SR III),2021-2022, Ganeshpura*
113, Central -Asaf Ali (SR III),2021-2022, Ganj Mir Khan*
114, Central -Asaf Ali (SR III),2021-2022, Gau Shala (Manakpura)
115, Central -Asaf Ali (SR III),2021-2022, Gaushala Marg*
116, Central -Asaf Ali (SR III),2021-2022, Gautam Nagar*
117, Central -Asaf Ali (SR III),2021-2022, Ghanta Ghar*
118, Central -Asaf Ali (SR III),2021-2022, Gopal Nagar*
119, Central -Asaf Ali (SR III),2021-2022, Govind Nagar
120, Central -Asaf Ali (SR III),2021-2022, Greater Kailash*
121, Central -Asaf Ali (SR III),2021-2022, Green Park Extension*
122, Central -Asaf Ali (SR III),2021-2022, Green Park Main*
123, Central -Asaf Ali (SR III),2021-2022, Green Park Market*
124, Central -Asaf Ali (SR III),2021-2022, Gulabi Bagh*
125, Central -Asaf Ali (SR III),2021-2022, Gulmohar Enclave*
126, Central -Asaf Ali (SR III),2021-2022, Gulmohar Park*
127, Central -Asaf Ali (SR III),2021-2022, Gurgaon Road*
128, Central -Asaf Ali (SR III),2021-2022, Hardev Puri*
129, Central -Asaf Ali (SR III),2021-2022, Hardhyan Singh Road
130, Central -Asaf Ali (SR III),2021-2022, Hari Nagar Ashram*
131, Central -Asaf Ali (SR III),2021-2022, Hari Nagar*
132, Central -Asaf Ali (SR III),2021-2022, Hauz Khas Enclave*
133, Central -Asaf Ali (SR III),2021-2022, Hauz Khas*
134, Central -Asaf Ali (SR III),2021-2022, Hauz Qazi*
135, Central -Asaf Ali (SR III),2021-2022, Hauz Quazi
136, Central -Asaf Ali (SR III),2021-2022, Hauz Rani*
137, Central -Asaf Ali (SR III),2021-2022, Haveli Azam Khan
138, Central -Asaf Ali (SR III),2021-2022, Haveli Hissamuddin Haider*
139, Central -Asaf Ali (SR III),2021-2022, Idgah Road*
140, Central -Asaf Ali (SR III),2021-2022, Inderpuri*
141, Central -Asaf Ali (SR III),2021-2022, Indira Nagar*
142, Central -Asaf Ali (SR III),2021-2022, Indra Park*
143, Central -Asaf Ali (SR III),2021-2022, Indraprasth Estate (Minto Road)
144, Central -Asaf Ali (SR III),2021-2022, Issapur*
145, Central -Asaf Ali (SR III),2021-2022, Jagatpur*
146, Central -Asaf Ali (SR III),2021-2022, Jama Masjid
147, Central -Asaf Ali (SR III),2021-2022, Jamia Nagar*
148, Central -Asaf Ali (SR III),2021-2022, Janak Park*
149, Central -Asaf Ali (SR III),2021-2022, Janak Puri*
150, Central -Asaf Ali (SR III),2021-2022, Janakpuri*
151, Central -Asaf Ali (SR III),2021-2022, Jangpura Lane*
152, Central -Asaf Ali (SR III),2021-2022, Jangpura Mathura Road*
153, Central -Asaf Ali (SR III),2021-2022, Jasola Village*
154, Central -Asaf Ali (SR III),2021-2022, Jhandewalan
155, Central -Asaf Ali (SR III),2021-2022, Jhandewalan Extn.(Manakpura)
156, Central -Asaf Ali (SR III),2021-2022, Jhandewalan Road*
157, Central -Asaf Ali (SR III),2021-2022, Jia Sarai*
158, Central -Asaf Ali (SR III),2021-2022, Joga Bai*
159, Central -Asaf Ali (SR III),2021-2022, Jogabai*
160, Central -Asaf Ali (SR III),2021-2022, Jogiwara*
161, Central -Asaf Ali (SR III),2021-2022, Joshi Road
162, Central -Asaf Ali (SR III),2021-2022, Kailash Colony*
163, Central -Asaf Ali (SR III),2021-2022, Kala Mahal
164, Central -Asaf Ali (SR III),2021-2022, Kala Masjid
165, Central -Asaf Ali (SR III),2021-2022, Kalinidi Colony*
166, Central -Asaf Ali (SR III),2021-2022, Kalka Ji*
167, Central -Asaf Ali (SR III),2021-2022, Kalkaji*
168, Central -Asaf Ali (SR III),2021-2022, Kamla Market
169, Central -Asaf Ali (SR III),2021-2022, Kapashera*
170, Central -Asaf Ali (SR III),2021-2022, Karol Bagh
171, Central -Asaf Ali (SR III),2021-2022, Kaseruwalan*
172, Central -Asaf Ali (SR III),2021-2022, Kashmere Gate*
173, Central -Asaf Ali (SR III),2021-2022, Katra Chhotey Lal (Darya Ganj
174, Central -Asaf Ali (SR III),2021-2022, Kaushri Wallan
175, Central -Asaf Ali (SR III),2021-2022, Kautilya Marg*
176, Central -Asaf Ali (SR III),2021-2022, Khaira*
177, Central -Asaf Ali (SR III),2021-2022, Khalsa Nagar
178, Central -Asaf Ali (SR III),2021-2022, Khari Baoli*
179, Central -Asaf Ali (SR III),2021-2022, Khirki Extension*
180, Central -Asaf Ali (SR III),2021-2022, Kilokari*
181, Central -Asaf Ali (SR III),2021-2022, Kinari Bazar*
182, Central -Asaf Ali (SR III),2021-2022, Kirti Nagar*
183, Central -Asaf Ali (SR III),2021-2022, Kishan Ganj*
184, Central -Asaf Ali (SR III),2021-2022, Kotla Mubarak Pur*
185, Central -Asaf Ali (SR III),2021-2022, Krishna Nagar
186, Central -Asaf Ali (SR III),2021-2022, Krishna Park*
187, Central -Asaf Ali (SR III),2021-2022, Kucha Chelan*
188, Central -Asaf Ali (SR III),2021-2022, Kucha Pandit (Bazar Sita Ram)
189, Central -Asaf Ali (SR III),2021-2022, Kucha Pati Ram (Pahar Ganj)
190, Central -Asaf Ali (SR III),2021-2022, Kucha Sohan Lal (Pahar Ganj)
191, Central -Asaf Ali (SR III),2021-2022, Kuchalal Man (Darya Ganj)
192, Central -Asaf Ali (SR III),2021-2022, Kunde Walan
193, Central -Asaf Ali (SR III),2021-2022, Laddu Ghati*
194, Central -Asaf Ali (SR III),2021-2022, Lajpat Nagar I*
195, Central -Asaf Ali (SR III),2021-2022, Lajpat Nagar*
196, Central -Asaf Ali (SR III),2021-2022, Lal Kuan
197, Central -Asaf Ali (SR III),2021-2022, Loha Mandi Naraina*
198, Central -Asaf Ali (SR III),2021-2022, Madanpur Khadar*
199, Central -Asaf Ali (SR III),2021-2022, Madipur*
200, Central -Asaf Ali (SR III),2021-2022, Mahipal Pur*
201, Central -Asaf Ali (SR III),2021-2022, Maidan Garhi*
202, Central -Asaf Ali (SR III),2021-2022, Main Bazar Pahar Ganj*
203, Central -Asaf Ali (SR III),2021-2022, Malka Ganj*
204, Central -Asaf Ali (SR III),2021-2022, Malviya Nagar*
205, Central -Asaf Ali (SR III),2021-2022, Man Singh Road*
206, Central -Asaf Ali (SR III),2021-2022, Manak Pura
207, Central -Asaf Ali (SR III),2021-2022, Mandawali*
